Taxon_name	Attribute
Roseivivax 	aerobic
Ruegeria	aerobic
Tetrasphaera	aerobic
Alkalibacterium	facultatively anaerobic
Sporobacterium	anaerobic
Papillibacter	anaerobic
Collinsella	anaerobic
Oscillochloris 	anaerobic
Streptomonospora	aerobic
Cellulophaga	aerobic
Tenacibaculum	aerobic
Ensifer 	aerobic
Desulfofrigus	anaerobic
Desulfotalea	anaerobic
Desulfofaba	anaerobic
Pelospora	anaerobic
Anaerovorax	anaerobic
Alishewanella	facultatively anaerobic
Muricauda 	aerobic
Muricauda 	facultatively anaerobic
Schineria	aerobic
Zobellia	aerobic
Propionispora	anaerobic
Pseudoramibacter	anaerobic
Alkaliphilus 	anaerobic
Parasporobacterium	anaerobic
Desulfotignum	anaerobic
Micropruina	anaerobic
Actinopolymorpha	aerobic
Granulicatella	facultatively anaerobic
Chrysiogenes	anaerobic
Anaerorhabdus	anaerobic
Filomicrobium	aerobic
Rhodobaca	aerobic
Acidithiobacillus	aerobic
Subtercola	aerobic
Salana 	facultatively anaerobic
Dyadobacter	aerobic
Roseinatronobacter	aerobic
Haloterrigena	aerobic
Pectobacterium	facultatively anaerobic
Solobacterium	anaerobic
Roseomonas	aerobic
Ornithinimicrobium 	aerobic
Geobacillus 	aerobic
Crossiella	aerobic
Natronorubrum	aerobic
Knoellia 	aerobic
Atopobacter	facultatively anaerobic
Thermacetogenium	anaerobic
Lachnobacterium	anaerobic
Thermomonas	aerobic
Prauserella	aerobic
Isobaculum	facultatively anaerobic
Selenihalanaerobacter	anaerobic
Salegentibacter	aerobic
Methanothermobacter	anaerobic
Halorhabdus 	aerobic
Halorhabdus 	facultatively anaerobic
Azonexus	aerobic
Azospira	aerobic
Thermobispora	aerobic
Massilia	aerobic
Desulfovirga	anaerobic
Halonatronum	anaerobic
Blastomonas 	aerobic
Erythromonas 	aerobic
Roseibium 	aerobic
Starkeya	aerobic
Stappia	aerobic
Ahrensia	aerobic
Aequorivita	aerobic
Vitellibacter	aerobic
