Parent_name	ph_category
Pediococcus	neutrophile
Pedobacter	neutrophile
Pelobacter	neutrophile
Pelosinus	neutrophile
Pelotomaculum	alkaliphile
Peptacetobacter	neutrophile
Persephonella	neutrophile
Petrotoga	neutrophile
Phascolarctobacterium	neutrophile
Phenylobacterium	neutrophile
Phocaeicola	neutrophile
Photobacterium	neutrophile
Photorhabdus	neutrophile
Phycicoccus	neutrophile
Planococcus	neutrophile
Plesiocystis	neutrophile
Plesiomonas	neutrophile
Polaromonas	neutrophile
Polymorphum	neutrophile
Polynucleobacter	neutrophile
Pontibacter	neutrophile
Ponticaulis	neutrophile
Porphyromonas	neutrophile
Prevotella	neutrophile
Priestia	neutrophile
Prochlorothrix	alkaliphile
Propionibacterium	neutrophile
Proteiniphilum	neutrophile
Proteus	alkaliphile
Providencia	neutrophile
Pseudarthrobacter	neutrophile
Pseudoalteromonas	neutrophile
Pseudodesulfovibrio	neutrophile
Pseudomonas	neutrophile
Pseudooceanicola	neutrophile
Pseudothermotoga	neutrophile
Pseudoxanthomonas	neutrophile
Psychrobacter	alkaliphile
Psychromonas	neutrophile
Pusillimonas	neutrophile
Pyrococcus	neutrophile
Ralstonia	neutrophile
Ramlibacter	neutrophile
Rheinheimera	neutrophile
Rhizobium	neutrophile
Rhodanobacter	neutrophile
Rhodococcus	neutrophile
Rhodonellum	alkaliphile
Rhodopirellula	alkaliphile
Rhodopseudomonas	neutrophile
Rhodothermus	neutrophile
Rickettsia	neutrophile
Robiginitomaculum	neutrophile
Roseiflexus	neutrophile
Rothia	neutrophile
Ruania	alkaliphile
Rubritalea	neutrophile
Rubrivivax	neutrophile
Rubrobacter	neutrophile
Rudaea	neutrophile
Rudanella	neutrophile
Ruegeria	neutrophile
Ruminiclostridium	acidophile
Ruminiclostridium cellobioparum	neutrophile
Ruminococcus	neutrophile
Saccharibacillus	neutrophile
Saccharomonospora	neutrophile
Saccharophagus	neutrophile
Salinibacter	alkaliphile
Salinicoccus	neutrophile
Salinimonas	neutrophile
Salinispora	alkaliphile
Salisaeta	neutrophile
Salsuginibacillus	alkaliphile
Scardovia	neutrophile
Schleiferilactobacillus	neutrophile
Schnuerera	neutrophile
Sciscionella	neutrophile
Secundilactobacillus	acidophile
Sediminispirochaeta	neutrophile
Segetibacter	neutrophile
Selenomonas	neutrophile
Serinicoccus	neutrophile
Serratia	neutrophile
Shewanella	neutrophile
Shigella	neutrophile
Shimwellia	neutrophile
Sodalis	neutrophile
Solimonas	neutrophile
Solitalea	neutrophile
Sorangium	alkaliphile
Sphaerochaeta	neutrophile
Sphingobium	neutrophile
Spiribacter	neutrophile
Spirochaeta	alkaliphile
Spirosoma	neutrophile
Sporolactobacillus	neutrophile
Sporosarcina	alkaliphile
Staphylococcus	neutrophile
Stomatobaculum	neutrophile
Streptococcus	neutrophile
Streptococcus oralis	neutrophile
Streptomyces	neutrophile
Succinimonas	neutrophile
Sulfitobacter	neutrophile
Sulfobacillus	acidophile
Sulfuricella	neutrophile
Sulfuricurvum	neutrophile
Sulfurihydrogenibium	neutrophile
Sulfurimonas	neutrophile
Sulfurospirillum	neutrophile
Symbiobacterium	neutrophile
Syntrophobacter	neutrophile
Syntrophobotulus	alkaliphile
Syntrophus	neutrophile
Taylorella	neutrophile
Teredinibacter	alkaliphile
Terriglobus	neutrophile
Thalassolituus	neutrophile
Thermacetogenium	neutrophile
Thermaerobacter	neutrophile
Thermanaerovibrio	neutrophile
Thermincola	alkaliphile
Thermoanaerobacter	neutrophile
Thermoanaerobacterium	acidophile
Thermobacillus	alkaliphile
Thermobaculum	neutrophile
Thermoclostridium	neutrophile
Thermodesulfatator	neutrophile
Thermodesulfovibrio	neutrophile
Thermofilum	acidophile
Thermogladius	neutrophile
Thermomicrobium	alkaliphile
Thermomonospora	alkaliphile
Thermoplasma	acidophile
Thermosediminibacter	neutrophile
Thermosinus	neutrophile
Thermosipho	neutrophile
Thermotoga	neutrophile
Thermovibrio	acidophile
Thermovirga	neutrophile
Thermus	neutrophile
Thioalkalivibrio	alkaliphile
Thiobacillus	neutrophile
Thiocapsa	neutrophile
Thiocystis	neutrophile
Thiofilum	neutrophile
Thioflavicoccus	neutrophile
Thiolinea	neutrophile
Thiomicrospira	alkaliphile
Thiorhodococcus	neutrophile
Thiothrix	neutrophile
Tolumonas	neutrophile
Treponema	neutrophile
Truepera	neutrophile
Turicibacter	neutrophile
Ureaplasma	neutrophile
Ureibacillus	alkaliphile
Vibrio	neutrophile
Weissella	neutrophile
Weizmannia	neutrophile
Wenxinia	neutrophile
Winogradskyella	neutrophile
Wohlfahrtiimonas	neutrophile
Xenorhabdus	neutrophile
Xylanimonas	neutrophile
Yaniella	neutrophile
Yersinia	neutrophile
NA	neutrophile
