Taxon_name	Attribute
Empedobacter	gram stain negative
Emticicia	gram stain negative
Endomicrobium	gram stain negative
Enhydrobacter	gram stain negative
Ensifer	gram stain negative
Enterobacter	gram stain negative
Enterococcus	gram stain positive
Epibacterium	gram stain negative
Epilithonimonas	gram stain negative
Ercella	gram stain negative
Eremococcus	gram stain positive
Erwinia	gram stain negative
Erysipelothrix	gram stain positive
Erythrobacter	gram stain negative
Erythromicrobium	gram stain negative
Erythromonas	gram stain negative
Escherichia	gram stain negative
Eubacterium	gram stain positive
Euzebya	gram stain positive
Ewingella	gram stain negative
Exiguobacterium	gram stain positive
Extibacter	gram stain positive
Fabibacter	gram stain negative
Facklamia	gram stain positive
Faecalibacterium	gram stain negative
Falcatimonas	gram stain negative
Fastidiosipila	gram stain positive
Fermentibacillus	gram stain positive
Ferrimicrobium	gram stain negative
Ferrimonas	gram stain negative
Ferrithrix	gram stain negative
Fervidobacterium	gram stain negative
Filibacter	gram stain negative
Filobacillus	gram stain positive
Filomicrobium	gram stain negative
Finegoldia	gram stain positive
Flammeovirga	gram stain negative
Flavimaricola	gram stain negative
Flaviramulus	gram stain negative
Flavobacterium	gram stain negative
Flectobacillus	gram stain negative
Flexistipes	gram stain negative
Flexithrix	gram stain negative
Flintibacter	gram stain negative
Fluviicola	gram stain negative
Fodinicola	gram stain positive
Formosa	gram stain negative
Francisella	gram stain negative
Frateuria	gram stain negative
Friedmanniella	gram stain positive
Frigoribacterium	gram stain positive
Frondihabitans	gram stain positive
Fuchsiella	gram stain negative
Fusibacter	gram stain positive
Fusicatenibacter	gram stain positive
Fusobacterium	gram stain negative
Gaetbulibacter	gram stain negative
Gaiella	gram stain negative
Galbitalea	gram stain positive
Gallicola	gram stain positive
Gallionella	gram stain negative
Garciella	gram stain positive
Gardnerella	gram stain negative
Gelidibacter	gram stain negative
Gelria	gram stain positive
Gemella	gram stain positive
Gemmata	gram stain negative
Gemmatimonas	gram stain negative
Gemmobacter	gram stain negative
Geobacillus	gram stain positive
Geobacter	gram stain negative
Georgenia	gram stain positive
Geothermomicrobium	gram stain positive
Geotoga	gram stain negative
Geovibrio	gram stain negative
Gillisia	gram stain negative
Glaciecola	gram stain negative
Glaciibacter	gram stain positive
Glaciihabitans	gram stain positive
Globicatella	gram stain positive
Gluconacetobacter	gram stain negative
Gluconobacter	gram stain negative
Glycomyces	gram stain positive
Goodfellowiella	gram stain positive
Gracilibacillus	gram stain positive
Gracilibacter	gram stain positive
Granulicatella	gram stain positive
Granulicella	gram stain negative
Granulicoccus	gram stain positive
Gryllotalpicola	gram stain positive
Guggenheimella	gram stain positive
Gulosibacter	gram stain positive
Haemophilus	gram stain negative
Hafnia	gram stain negative
Hahella	gram stain negative
Haladaptatus	gram stain negative
Halalkalicoccus	gram stain negative
Halanaerobacter	gram stain negative
Halanaerobium	gram stain negative
Halapricum	gram stain negative
Halarchaeum	gram stain negative
Halarsenatibacter	gram stain negative
Haliscomenobacter	gram stain negative
Ruania	gram stain positive
Haloactinopolyspora	gram stain positive
Haloactinospora	gram stain positive
Haloarchaeobius	gram stain negative
Haloarcula	gram stain negative
Halobacillus	gram stain positive
Halobacterium	gram stain negative
Halobacteroides	gram stain negative
Halobaculum	gram stain negative
Halobellus	gram stain negative
Halocalculus	gram stain negative
Halocella	gram stain negative
Halochromatium	gram stain negative
Haloechinothrix	gram stain positive
Haloferax	gram stain negative
Halogeometricum	gram stain negative
Haloglycomyces	gram stain positive
Halogranum	gram stain negative
Halolactibacillus	gram stain positive
Halolamina	gram stain negative
Halomicroarcula	gram stain negative
Halomicrobium	gram stain negative
Halomonas	gram stain negative
Halonatronum	gram stain negative
Halopenitus	gram stain negative
Halopiger	gram stain negative
Haloplasma	gram stain negative
Haloprofundus	gram stain negative
Halorhabdus	gram stain negative
Halorhodospira	gram stain negative
Halorientalis	gram stain negative
Halorubellus	gram stain negative
Halorubrum	gram stain negative
Halorussus	gram stain negative
Halosarcina	gram stain negative
Halosiccatus	gram stain negative
Halostagnicola	gram stain negative
Halostella	gram stain negative
Halotalea	gram stain negative
Haloterrigena	gram stain negative
Halothermothrix	gram stain negative
Halothiobacillus	gram stain negative
Halovarius	gram stain negative
Halovenus	gram stain negative
Helcococcus	gram stain positive
Helicobacter	gram stain negative
Heliothrix	gram stain negative
Herbaspirillum	gram stain negative
Herbiconiux	gram stain positive
Herbidospora	gram stain positive
Herminiimonas	gram stain negative
Herpetosiphon	gram stain negative
Hespellia	gram stain positive
Hippea	gram stain negative
Hirschia	gram stain negative
Holdemania	gram stain positive
Holophaga	gram stain negative
Homoserinibacter	gram stain positive
Humibacter	gram stain positive
Humicoccus	gram stain positive
Humihabitans	gram stain positive
Hwanghaeicola	gram stain negative
Hydrogenobacter	gram stain negative
Hydrogenophaga	gram stain negative
Hydrogenophilus	gram stain negative
Hydrogenovibrio	gram stain negative
Hydrotalea	gram stain negative
Hymenobacter	gram stain negative
Hyperthermus	gram stain negative
Hyphomicrobium	gram stain negative
Hyphomonas	gram stain negative
Iamia	gram stain positive
Ideonella	gram stain negative
Idiomarina	gram stain negative
Ignavibacterium	gram stain negative
Ignavigranum	gram stain positive
Ignicoccus	gram stain negative
Intestinimonas	gram stain positive
Intrasporangium	gram stain positive
Iodobacter	gram stain negative
Isochromatium	gram stain negative
Isoptericola	gram stain positive
Janibacter	gram stain positive
Janthinobacterium	gram stain negative
Jeotgalibaca	gram stain positive
Jeotgalicoccus	gram stain positive
Jiangella	gram stain positive
Johnsonella	gram stain negative
Jonesia	gram stain positive
Kaistella	gram stain negative
Ketogulonicigenium	gram stain negative
Kibdelosporangium	gram stain positive
Kineococcus	gram stain positive
Kineosphaera	gram stain positive
Kineosporia	gram stain positive
Kingella	gram stain negative
Kinneretia	gram stain negative
Klebsiella	gram stain negative
Kluyvera	gram stain negative
Knoellia	gram stain positive
Kocuria	gram stain positive
Kordia	gram stain negative
Kribbella	gram stain positive
Kribbia	gram stain positive
Krokinobacter	gram stain negative
Kutzneria	gram stain positive
Kytococcus	gram stain positive
Labedella	gram stain positive
Laceyella	gram stain positive
Lachnobacterium	gram stain positive
Lacinutrix	gram stain negative
Lactobacillus	gram stain positive
Lactococcus	gram stain positive
Lactovum	gram stain positive
Lamprobacter	gram stain negative
Lamprocystis	gram stain negative
Lampropedia	gram stain negative
Lapillicoccus	gram stain positive
Larkinella	gram stain negative
Larsenimonas	gram stain negative
Lautropia	gram stain negative
Lawsonia	gram stain negative
Leadbetterella	gram stain negative
Lentzea	gram stain positive
Leclercia	gram stain negative
Leifsonia	gram stain positive
Leminorella	gram stain negative
Lentisphaera	gram stain negative
Leptolinea	gram stain negative
Leptonema	gram stain negative
Leptospira	gram stain negative
Leptospirillum	gram stain negative
Leptothrix	gram stain negative
Leptotrichia	gram stain negative
Leucobacter	gram stain positive
Leucothrix	gram stain negative
Levilinea	gram stain negative
Lewinella	gram stain negative
Lishizhenia	gram stain negative
Listeria	gram stain positive
Longibacter	gram stain negative
Longicatena	gram stain positive
Longilinea	gram stain negative
Longispora	gram stain positive
Luedemannella	gram stain positive
Luteimonas	gram stain negative
Luteitalea	gram stain negative
Luteococcus	gram stain positive
Lutibacter	gram stain negative
Lutispora	gram stain negative
Lysinimonas	gram stain positive
Lysobacter	gram stain negative
Lyticum	gram stain negative
Macrococcus	gram stain positive
Macromonas	gram stain negative
Mageeibacillus	gram stain positive
Magnetospirillum	gram stain negative
Mahella	gram stain positive
Malonomonas	gram stain negative
Mangrovibacter	gram stain negative
Mannheimia	gram stain negative
Marichromatium	gram stain negative
Marinactinospora	gram stain positive
Marinibacillus	gram stain positive
Marinicella	gram stain negative
Mariniflexile	gram stain negative
Marinilabilia	gram stain negative
Marinilactibacillus	gram stain positive
Marinobacter	gram stain negative
Marinobacterium	gram stain negative
Marinococcus	gram stain positive
Marinomonas	gram stain negative
Marmoricola	gram stain positive
Marvinbryantia	gram stain positive
Massilia	gram stain negative
Mechercharimyces	gram stain positive
Megasphaera	gram stain negative
Meiothermus	gram stain negative
Melghiribacillus	gram stain positive
Melioribacter	gram stain negative
Melissococcus	gram stain positive
Meniscus	gram stain negative
Mesophilobacter	gram stain negative
Mesorhizobium	gram stain negative
Metallosphaera	gram stain negative
Metascardovia	gram stain positive
Methanobacterium	gram stain positive
Methanobrevibacter	gram stain positive
Methanocaldococcus	gram stain negative
Methanocorpusculum	gram stain negative
Methanoculleus	gram stain negative
Methanofollis	gram stain negative
Methanogenium	gram stain negative
Methanohalophilus	gram stain negative
Methanolacinia	gram stain negative
Methanolobus	gram stain negative
Methanomassiliicoccus	gram stain positive
Methanomicrobium	gram stain negative
Methanoplanus	gram stain negative
Methanopyrus	gram stain positive
Methanosaeta	gram stain negative
Methanosphaera	gram stain positive
Methanosphaerula	gram stain positive
Methanospirillum	gram stain negative
Methanothermobacter	gram stain positive
Methanothermococcus	gram stain negative
Methanothermus	gram stain positive
Methylarcula	gram stain negative
Methylobacillus	gram stain negative
Methylobacter	gram stain negative
Methylobacterium	gram stain negative
Methylocaldum	gram stain negative
Methylocapsa	gram stain negative
Methylocella	gram stain negative
Methylococcus	gram stain negative
Methyloferula	gram stain negative
Methylogaea	gram stain negative
Methylohalobius	gram stain negative
Methylomarinovum	gram stain negative
Methylomarinum	gram stain negative
Methylomicrobium	gram stain negative
Methylomonas	gram stain negative
Methyloparacoccus	gram stain negative
Methylophaga	gram stain negative
Methylophilus	gram stain negative
Methylopila	gram stain negative
Methylorhabdus	gram stain negative
Methylorosula	gram stain negative
Methylosarcina	gram stain negative
Methylosphaera	gram stain negative
Methylothermus	gram stain negative
Methylovirgula	gram stain negative
Methylovorus	gram stain negative
Micavibrio	gram stain negative
Microbacterium	gram stain positive
Microbispora	gram stain positive
Microbulbifer	gram stain negative
Microcella	gram stain positive
Micrococcus	gram stain positive
Microlunatus	gram stain positive
Micromonospora	gram stain positive
Micropepsis	gram stain negative
Micropruina	gram stain positive
Microterricola	gram stain positive
Microtetraspora	gram stain positive
Microvirgula	gram stain negative
Miniimonas	gram stain positive
Mitsuokella	gram stain negative
Mobilitalea	gram stain positive
Mobiluncus	gram stain negative
Modestobacter	gram stain positive
Modicisalibacter	gram stain negative
Moellerella	gram stain negative
Mogibacterium	gram stain positive
Moorella	gram stain positive
Moraxella	gram stain negative
Morganella	gram stain negative
Moritella	gram stain negative
Morococcus	gram stain negative
Moryella	gram stain positive
Muribaculum	gram stain negative
Muricauda	gram stain negative
Muricomes	gram stain positive
Myceligenerans	gram stain positive
Mycetocola	gram stain positive
Mycobacterium	gram stain positive
Mycoplana	gram stain negative
Mycoplasma	gram stain negative
Myroides	gram stain negative
Naasia	gram stain positive
Nakamurella	gram stain positive
Nanoarchaeum	gram stain negative
Natranaerobaculum	gram stain positive
Natrialba	gram stain negative
Natrinema	gram stain negative
Natroniella	gram stain negative
Natronincola	gram stain positive
Natronoarchaeum	gram stain negative
Natronobacterium	gram stain negative
Natronolimnobius	gram stain negative
Natronomonas	gram stain negative
Natronorubrum	gram stain negative
Neisseria	gram stain negative
Neorickettsia	gram stain negative
Nesterenkonia	gram stain positive
Nevskia	gram stain negative
Nitriliruptor	gram stain positive
Nitrobacter	gram stain negative
Nitrococcus	gram stain negative
Nitrosococcus	gram stain negative
Nitrosolobus	gram stain negative
Nitrosomonas	gram stain negative
Nitrosospira	gram stain negative
Nitrosovibrio	gram stain negative
Nitrospina	gram stain negative
Nitrospira	gram stain negative
Nocardioides	gram stain positive
Nocardiopsis	gram stain positive
Nonlabens	gram stain negative
Nonomuraea	gram stain positive
Obesumbacterium	gram stain negative
Occallatibacter	gram stain negative
Oceanimonas	gram stain negative
Oceanirhabdus	gram stain positive
Oceanivirga	gram stain negative
Oceanobacillus	gram stain positive
Oceanospirillum	gram stain negative
Ochrobactrum	gram stain negative
Octadecabacter	gram stain negative
Oenococcus	gram stain positive
Oerskovia	gram stain positive
Okibacterium	gram stain positive
Oligella	gram stain negative
Olleya	gram stain negative
Olsenella	gram stain positive
Opitutus	gram stain negative
Orbus	gram stain negative
Orenia	gram stain negative
Oribacterium	gram stain positive
Ornatilinea	gram stain negative
Ornithinicoccus	gram stain positive
Ornithinimicrobium	gram stain positive
Ornithobacterium	gram stain negative
Oryzihumus	gram stain positive
Owenweeksia	gram stain negative
Oxalobacter	gram stain negative
Oxalophagus	gram stain positive
Oxobacter	gram stain positive
Paenalcaligenes	gram stain negative
Paenochrobactrum	gram stain negative
Palaeococcus	gram stain negative
Paludibacter	gram stain negative
Paludibaculum	gram stain negative
Pandoraea	gram stain negative
Pantoea	gram stain negative
Papillibacter	gram stain positive
Paracoccus	gram stain negative
Paracraurococcus	gram stain negative
Paralactobacillus	gram stain positive
Paraliobacillus	gram stain positive
Parascardovia	gram stain positive
Parasporobacterium	gram stain negative
Parvimonas	gram stain positive
Pasteurella	gram stain negative
Pasteuria	gram stain positive
Patulibacter	gram stain positive
Paucimonas	gram stain negative
Pectinatus	gram stain negative
Pectobacterium	gram stain negative
Pedobacter	gram stain negative
Pedomicrobium	gram stain negative
Pelagicoccus	gram stain negative
Pelagirhabdus	gram stain positive
Pelistega	gram stain negative
Pelobacter	gram stain negative
Pelodictyon	gram stain negative
Pelolinea	gram stain negative
Pelotomaculum	gram stain positive
Peptococcus	gram stain positive
Peptoniphilus	gram stain positive
Peptostreptococcus	gram stain positive
Persicivirga	gram stain negative
Persicobacter	gram stain negative
Petrimonas	gram stain negative
Petrotoga	gram stain negative
Pfennigia	gram stain negative
Phaeospirillum	gram stain negative
Phascolarctobacterium	gram stain negative
Phenylobacterium	gram stain negative
Phocoenobacter	gram stain negative
Photobacterium	gram stain negative
Photorhabdus	gram stain negative
Phycicoccus	gram stain positive
Phycicola	gram stain positive
Phycisphaera	gram stain negative
Phyllobacterium	gram stain negative
Phytohabitans	gram stain positive
Phytomonospora	gram stain positive
Pigmentiphaga	gram stain negative
Pilimelia	gram stain positive
Pirellula	gram stain negative
Piscirickettsia	gram stain negative
Pistricoccus	gram stain negative
Planctomyces	gram stain negative
Planifilum	gram stain positive
Planobispora	gram stain positive
Planomonospora	gram stain positive
Planotetraspora	gram stain positive
Plantactinospora	gram stain positive
Plantibacter	gram stain positive
Plesiomonas	gram stain negative
Polaribacter	gram stain negative
Polaromonas	gram stain negative
Polygonibacillus	gram stain positive
Polymorphospora	gram stain positive
Pontibaca	gram stain negative
Pontibacillus	gram stain positive
Pontimonas	gram stain positive
Porphyrobacter	gram stain negative
Porphyromonas	gram stain negative
Porticoccus	gram stain negative
Pragia	gram stain negative
Prauserella	gram stain positive
Prevotella	gram stain negative
Promicromonospora	gram stain positive
Propionibacter	gram stain negative
Propionibacterium	gram stain positive
Propionicicella	gram stain positive
Propionicimonas	gram stain positive
Propioniferax	gram stain positive
Propionimicrobium	gram stain positive
Propionispira	gram stain negative
Propionispora	gram stain negative
Propionivibrio	gram stain negative
Prosthecobacter	gram stain negative
Prosthecochloris	gram stain negative
Prosthecomicrobium	gram stain negative
Proteiniborus	gram stain positive
Proteiniphilum	gram stain negative
Proteus	gram stain negative
Providencia	gram stain negative
Pseudaestuariivita	gram stain negative
Pseudaminobacter	gram stain negative
Pseudoalteromonas	gram stain negative
Pseudobutyrivibrio	gram stain negative
Pseudochrobactrum	gram stain negative
Pseudoclavibacter	gram stain positive
Pseudomonas	gram stain negative
Pseudonocardia	gram stain positive
Pseudoramibacter	gram stain positive
Pseudoxanthomonas	gram stain negative
Psychrobacter	gram stain negative
Psychroflexus	gram stain negative
Psychromonas	gram stain negative
Psychroserpens	gram stain negative
Pullulanibacillus	gram stain positive
Puniceicoccus	gram stain negative
Pyrinomonas	gram stain negative
Pyrobaculum	gram stain negative
Pyrococcus	gram stain negative
Pyrolobus	gram stain negative
Quadrisphaera	gram stain positive
Quinella	gram stain negative
Rahnella	gram stain negative
Ralstonia	gram stain negative
Rarobacter	gram stain positive
Rathayibacter	gram stain positive
Renibacterium	gram stain positive
Rhabdanaerobium	gram stain positive
Rhabdochromatium	gram stain negative
Rhizobacter	gram stain negative
Rhizobium	gram stain negative
