"kingdom"	"class"	"order"	"family"	"genus"
"Lactobacillus OTU10"	"Bacteria"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"
"Alloscardovia omnicolens"	"Bacteria"	"Actinomycetia"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Alloscardovia"
"Lactobacillus OTU7"	"Bacteria"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"
"Lactobacillus helveticus"	"Bacteria"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"
"Actinomyces urogenitalis"	"Bacteria"	"Actinomycetia"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"
"Pseudomonas"	"Bacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"
"Pseudomonas aeruginosa"	"Bacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"
"Peptostreptococcus stomatis"	"Bacteria"	"Clostridia"	"Eubacteriales"	"Peptostreptococcaceae"	"Peptostreptococcus"
"Acinetobacter calcoaceticus"	"Bacteria"	"Gammaproteobacteria"	"Moraxellales"	"Moraxellaceae"	"Acinetobacter"
"Acinetobacter calcoaceticus.baumannii complex"	"Bacteria"	"Gammaproteobacteria"	"Moraxellales"	"Moraxellaceae"	"Acinetobacter"
"Staphylococcus warneri"	"Bacteria"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Staphylococcus"
"Streptococcus sanguinis"	"Bacteria"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"
"Bacteroides uniformis"	"Bacteria"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"
"Pseudomonadales"	"Bacteria"	"Gammaproteobacteria"	"Pseudomonadales"	NA	NA
"Aerococcus viridans"	"Bacteria"	"Bacilli"	"Lactobacillales"	"Aerococcaceae"	"Aerococcus"
"Streptococcus mutans"	"Bacteria"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"
